primaryTitle,Release Date,startYear,month,season,runtimeMinutes,genres,MPAA Rating,is_original,is_franchise,averageRating,numVotes,performance
Fast X,5/17/2023,2023,5,Spring,141,"Action,Adventure,Crime",PG-13,1,1,5.7,144255,cinema-flop
Past Lives,6/2/2023,2023,6,Summer,105,"Drama,Romance",PG-13,1,0,7.8,169635,cinema-hit
Transformers: Rise of the Beasts,6/6/2023,2023,6,Summer,127,"Action,Adventure,Sci-Fi",PG-13,0,1,6,129903,cinema-flop
The Flash,6/13/2023,2023,6,Summer,144,"Action,Adventure,Fantasy",PG-13,0,1,6.6,245595,cinema-flop
Indiana Jones and the Dial of Destiny,6/28/2023,2023,6,Summer,154,"Action,Adventure,Sci-Fi",PG-13,1,1,6.5,230868,cinema-flop
Sound of Freedom,7/4/2023,2023,7,Summer,131,"Biography,Crime,Drama",PG-13,0,0,7.6,136199,cinema-hit
Insidious: The Red Door,7/5/2023,2023,7,Summer,107,"Horror,Mystery,Thriller",PG-13,1,1,5.5,62925,cinema-hit
Barbie,7/19/2023,2023,7,Summer,114,"Adventure,Comedy,Fantasy",PG-13,0,1,6.8,661362,cinema-hit
Haunted Mansion,7/26/2023,2023,7,Summer,123,"Comedy,Drama,Family",PG-13,0,0,6,49850,cinema-flop
Meg 2: The Trench,7/29/2023,2023,7,Summer,116,"Action,Adventure,Horror",PG-13,1,1,5,100675,cinema-hit
Blue Beetle,8/16/2023,2023,8,Summer,127,"Action,Adventure,Sci-Fi",PG-13,0,1,5.9,115510,cinema-flop
The Creator,9/27/2023,2023,9,Fall/Autumn,133,"Action,Adventure,Drama",PG-13,1,0,6.7,194589,cinema-flop
The Marvels,11/8/2023,2023,11,Fall/Autumn,105,"Action,Adventure,Sci-Fi",PG-13,0,1,5.5,161847,cinema-flop
