Title,Release date,Year,Month,Season,runTime,Genre,MPAA_Rating,is_original,is_franchise,averageRating,numVotes,performance,distributor,Original,Franchise,combined,commitment_logic,conveninec logic,quadrant
The Wrong Missy,5/13/2020,2020,5,Spring,90,Black comedy,R,0,0,5.8,50196,Streaming-flop,streaming,non-original,non-franchise,new,0.016881493,0.575639098,Scenario 3: Strong Convenience
The Lovebirds,5/22/2020,2020,5,Spring,87,Romantic comedy,R,0,0,6.1,29043,Streaming-flop,streaming,non-original,non-franchise,new,0.009441912,0.615733083,Scenario 3: Strong Convenience
Intuition,5/28/2020,2020,5,Spring,116,Crime thriller,Not Rated,0,0,5.6,3339,Streaming-flop,streaming,non-original,non-franchise,new,0.00144735,0.473684211,Scenario 2: Weak Commitment/Convenience
The Last Days of American Crime,6/5/2020,2020,6,Summer,149,Heist thriller,R,0,0,3.8,12917,Streaming-flop,streaming,non-original,non-franchise,new,0.007191958,0.250714286,Scenario 2: Weak Commitment/Convenience
Da 5 Bloods,6/12/2020,2020,6,Summer,155,War drama,R,0,0,6.5,57349,Streaming-flop,streaming,non-original,non-franchise,new,0.033216722,0.406860902,Scenario 1: Strong Commitment
A Whisker Away,6/18/2020,2020,6,Summer,105,Anime fantasy,PG,0,0,6.7,17691,Streaming-flop,streaming,non-original,non-franchise,new,0.006941302,0.608289474,Scenario 3: Strong Convenience
Feel the Beat,6/19/2020,2020,6,Summer,109,Family / Comedy drama,G,0,0,6.3,15070,Streaming-flop,streaming,non-original,non-franchise,new,0.006138171,0.557763158,Scenario 3: Strong Convenience
Lost Bullet,6/19/2020,2020,6,Summer,93,Action,Not Rated,0,0,6.4,16640,Streaming-hit,streaming,non-original,non-franchise,new,0.005782764,0.624360902,Scenario 3: Strong Convenience
One-Way to Tomorrow,6/19/2020,2020,6,Summer,90,Romantic drama,Not Rated,0,0,5.6,5775,Streaming-flop,streaming,non-original,non-franchise,new,0.001942199,0.555789474,Scenario 3: Strong Convenience
Bulbbul,6/24/2020,2020,6,Summer,94,Horror,Not Rated,0,0,6.6,16354,Streaming-flop,streaming,non-original,non-franchise,new,0.005744485,0.640150376,Scenario 3: Strong Convenience
Nobody Knows I'm Here,6/24/2020,2020,6,Summer,91,Drama,Not Rated,0,0,6.5,5237,Streaming-flop,streaming,non-original,non-franchise,new,0.001780833,0.641447368,Scenario 3: Strong Convenience
Eurovision Song Contest: The Story of Fire Saga,6/26/2020,2020,6,Summer,123,Musical comedy,PG-13,0,0,6.5,108838,Streaming-flop,streaming,non-original,non-franchise,new,0.050024746,0.524154135,Scenario 4: Hybrid Logic
Under the Riccione Sun,7/1/2020,2020,7,Summer,102,Romantic teenage drama,Not Rated,0,0,5.6,3494,Streaming-flop,streaming,non-original,non-franchise,new,0.001331749,0.517894737,Scenario 3: Strong Convenience
Desperados,7/3/2020,2020,7,Summer,106,Romantic comedy,Not Rated,0,0,5.2,11605,Streaming-flop,streaming,non-original,non-franchise,new,0.004596743,0.469172932,Scenario 2: Weak Commitment/Convenience
The Old Guard,7/10/2020,2020,7,Summer,125,Superhero,R,0,0,6.7,208995,Streaming-flop,streaming,non-original,non-franchise,new,0.097621424,0.532725564,Scenario 4: Hybrid Logic
The Players,7/15/2020,2020,7,Summer,88,Comedy,R,0,0,4.8,1989,Streaming-flop,streaming,non-original,non-franchise,new,0.000654059,0.481804511,Scenario 2: Weak Commitment/Convenience
Fatal Affair,7/16/2020,2020,7,Summer,89,Psychological thriller,Not Rated,0,0,4.6,7288,Streaming-flop,streaming,non-original,non-franchise,new,0.002423805,0.459135338,Scenario 2: Weak Commitment/Convenience
Offering to the Storm,7/24/2020,2020,7,Summer,139,Crime thriller,R,0,0,6.2,8364,Streaming-flop,streaming,non-original,non-franchise,new,0.004344382,0.444022556,Scenario 2: Weak Commitment/Convenience
