Title,Release date,Year,Month,Season,runTime,Genre,MPAA_Rating,is_original,is_franchise,averageRating,numVotes,performance,distributor,Original,Franchise,combined,commitment_logic,conveninec logic,quadrant
UFO,2/23/2022,2022,2,Winter,110,Drama,Not Rated,0,0,5.1,2907,Streaming-flop,streaming,non-original,non-franchise,new,0.001194915,0.448646617,Scenario 2: Weak Commitment/Convenience
Restless,2/25/2022,2022,2,Winter,96,Action thriller,R,1,1,5.8,5994,Streaming-hit,streaming,original,franchise,old,0.003225362,0.370676692,Scenario 2: Weak Commitment/Convenience
Against the Ice,3/2/2022,2022,3,Spring,103,Survival,R,0,0,6.5,31544,Streaming-flop,streaming,non-original,non-franchise,new,0.012140965,0.597462406,Scenario 3: Strong Convenience
The Weekend Away,3/3/2022,2022,3,Spring,91,Thriller,PG-13,0,0,5.7,35694,Streaming-flop,streaming,non-original,non-franchise,new,0.012137684,0.5625,Scenario 3: Strong Convenience
The Adam Project,3/11/2022,2022,3,Spring,106,Science fiction,PG-13,0,0,6.7,255832,Streaming-hit,streaming,non-original,non-franchise,new,0.101335114,0.604511278,Scenario 4: Hybrid Logic
Rescued by Ruby,3/17/2022,2022,3,Spring,93,Drama,G,0,0,7.2,13479,Streaming-flop,streaming,non-original,non-franchise,new,0.004684248,0.702406015,Scenario 3: Strong Convenience
Black Crab,3/18/2022,2022,3,Spring,114,Thriller,R,0,0,5.7,28507,Streaming-hit,streaming,non-original,non-franchise,new,0.012143828,0.488571429,Scenario 2: Weak Commitment/Convenience
Windfall,3/18/2022,2022,3,Spring,92,Thriller,R,0,0,5.7,28516,Streaming-flop,streaming,non-original,non-franchise,new,0.009803376,0.559285714,Scenario 3: Strong Convenience
In Good Hands,3/21/2022,2022,3,Spring,104,Romantic comedy,Not Rated,0,0,5.8,4671,Streaming-hit,streaming,non-original,non-franchise,new,0.001815275,0.529849624,Scenario 3: Strong Convenience
Love Like the Falling Petals,3/24/2022,2022,3,Spring,129,Drama,Not Rated,0,0,6.6,1074,Streaming-flop,streaming,non-original,non-franchise,new,0.000517718,0.509887218,Scenario 3: Strong Convenience
All Hail,3/30/2022,2022,3,Spring,118,Drama,Not Rated,0,0,5.6,4440,Streaming-hit,streaming,non-original,non-franchise,new,0.001957781,0.467368421,Scenario 2: Weak Commitment/Convenience
Battle: Freestyle,4/1/2022,2022,4,Spring,88,Romantic drama,Not Rated,0,1,4.7,727,Streaming-flop,streaming,non-original,franchise,old,0.000358598,0.314511278,Scenario 2: Weak Commitment/Convenience
The Bubble,4/1/2022,2022,4,Spring,126,Comedy,R,0,1,4.7,30317,Streaming-flop,streaming,non-original,franchise,old,0.021411508,0.247368421,Scenario 2: Weak Commitment/Convenience
Cobalt Blue,4/2/2022,2022,4,Spring,112,Romantic drama,Not Rated,0,0,6.6,2798,Streaming-flop,streaming,non-original,non-franchise,new,0.001171022,0.573157895,Scenario 3: Strong Convenience
Dancing on Glass,4/8/2022,2022,4,Spring,139,Drama,Not Rated,0,0,5.6,1142,Streaming-flop,streaming,non-original,non-franchise,new,0.000593171,0.401052632,Scenario 2: Weak Commitment/Convenience
Metal Lords,4/8/2022,2022,4,Spring,98,Musical comedy drama,R,0,0,6.7,36487,Streaming-flop,streaming,non-original,non-franchise,new,0.013361754,0.634736842,Scenario 3: Strong Convenience
Yaksha: Ruthless Operations,4/8/2022,2022,4,Spring,125,Spy,Not Rated,0,0,6.3,5248,Streaming-hit,streaming,non-original,non-franchise,new,0.002451337,0.500921053,Scenario 3: Strong Convenience
Choose or Die,4/15/2022,2022,4,Spring,85,Horror,NR,0,0,4.8,28697,Streaming-flop,streaming,non-original,non-franchise,new,0.009114958,0.489924812,Scenario 2: Weak Commitment/Convenience
Man of God,4/16/2022,2022,4,Spring,111,Drama,Not Rated,0,0,4,227,Streaming-flop,streaming,non-original,non-franchise,new,9.4156E-05,0.34962406,Scenario 2: Weak Commitment/Convenience
365 Days: This Day,4/27/2022,2022,4,Spring,111,Erotic thriller,R,0,1,2.7,28005,Streaming-hit,streaming,non-original,franchise,old,0.017424047,0.157330827,Scenario 2: Weak Commitment/Convenience
Silverton Siege,4/27/2022,2022,4,Spring,101,Action thriller,PG-13,0,0,6.3,4803,Streaming-flop,streaming,non-original,non-franchise,new,0.00181273,0.586184211,Scenario 3: Strong Convenience
Bubble,4/28/2022,2022,4,Spring,101,Anime,PG,0,0,6.4,9615,Streaming-flop,streaming,non-original,non-franchise,new,0.003628857,0.595488722,Scenario 3: Strong Convenience
Along for the Ride,5/6/2022,2022,5,Spring,107,Drama,Not Rated,0,0,6.2,10601,Streaming-flop,streaming,non-original,non-franchise,new,0.004238672,0.555902256,Scenario 3: Strong Convenience
The Takedown,5/6/2022,2022,5,Spring,121,Action comedy,Not Rated,0,0,5.8,9586,Streaming-hit,streaming,non-original,non-franchise,new,0.004334331,0.47424812,Scenario 2: Weak Commitment/Convenience
Thar,5/6/2022,2022,5,Spring,108,Western thriller,Not Rated,0,0,6.1,8324,Streaming-flop,streaming,non-original,non-franchise,new,0.003359348,0.543496241,Scenario 3: Strong Convenience
Senior Year,5/13/2022,2022,5,Spring,113,Comedy,R,0,0,5.5,47863,Streaming-hit,streaming,non-original,non-franchise,new,0.020210525,0.474530075,Scenario 2: Weak Commitment/Convenience
Toscana,5/18/2022,2022,5,Spring,90,Drama,Not Rated,0,0,6.1,84,Streaming-hit,streaming,non-original,non-franchise,new,2.82502E-05,0.605413534,Scenario 3: Strong Convenience
A Perfect Pairing,5/19/2022,2022,5,Spring,102,Romantic comedy,PG,0,0,6.1,19293,Streaming-hit,streaming,non-original,non-franchise,new,0.007353586,0.564135338,Scenario 3: Strong Convenience
F*ck Love Too,5/20/2022,2022,5,Spring,92,Romantic comedy,Not Rated,0,0,3.9,1522,Streaming-hit,streaming,non-original,non-franchise,new,0.000523241,0.382669173,Scenario 2: Weak Commitment/Convenience
Godspeed,5/23/2022,2022,5,Spring,119,Drama,Not Rated,0,0,6.5,3721,Streaming-flop,streaming,non-original,non-franchise,new,0.001654649,0.538815789,Scenario 3: Strong Convenience
Interceptor,6/3/2022,2022,6,Summer,98,Action drama,Not Rated,0,0,4.7,29442,Streaming-flop,streaming,non-original,non-franchise,new,0.010781833,0.445263158,Scenario 2: Weak Commitment/Convenience
Hustle,6/8/2022,2022,6,Summer,118,Sports,R,0,0,7.3,162766,Streaming-hit,streaming,non-original,non-franchise,new,0.071770327,0.60924812,Scenario 4: Hybrid Logic
Heart Parade,6/15/2022,2022,6,Summer,108,Romantic comedy,Not Rated,0,0,5.1,881,Streaming-flop,streaming,non-original,non-franchise,new,0.000355549,0.454398496,Scenario 2: Weak Commitment/Convenience
The Wrath of God,6/15/2022,2022,6,Summer,98,Thriller,Not Rated,0,0,5.8,5565,Streaming-flop,streaming,non-original,non-franchise,new,0.002037936,0.549473684,Scenario 3: Strong Convenience
Spiderhead,6/17/2022,2022,6,Summer,107,Science fiction action thriller,R,0,0,5.5,72501,Streaming-flop,streaming,non-original,non-franchise,new,0.028988584,0.493139098,Scenario 2: Weak Commitment/Convenience
Doom of Love,6/20/2022,2022,6,Summer,100,Drama,Not Rated,0,0,4.9,2813,Streaming-flop,streaming,non-original,non-franchise,new,0.00105116,0.458684211,Scenario 2: Weak Commitment/Convenience
Love & Gelato,6/22/2022,2022,6,Summer,112,Romance,PG-13,0,0,5.2,7332,Streaming-flop,streaming,non-original,non-franchise,new,0.003068596,0.451578947,Scenario 2: Weak Commitment/Convenience
Blasted,6/28/2022,2022,6,Summer,115,Science fiction / comedy,Not Rated,0,0,4.8,2762,Streaming-flop,streaming,non-original,non-franchise,new,0.001186918,0.408721805,Scenario 2: Weak Commitment/Convenience
Beauty,6/29/2022,2022,6,Summer,95,Drama,R,0,0,4.2,928,Streaming-flop,streaming,non-original,non-franchise,new,0.000329436,0.405,Scenario 2: Weak Commitment/Convenience
Dangerous Liaisons,7/8/2022,2022,7,Summer,109,Romantic drama,R,0,0,4.2,2694,Streaming-hit,streaming,non-original,non-franchise,new,0.001097295,0.371842105,Scenario 2: Weak Commitment/Convenience
Jewel,7/8/2022,2022,7,Summer,80,Drama,R,0,0,3.5,185,Streaming-flop,streaming,non-original,non-franchise,new,5.53046E-05,0.367105263,Scenario 2: Weak Commitment/Convenience
The Sea Beast,7/8/2022,2022,7,Summer,119,CGI animation adventure,PG,0,0,7,64752,Streaming-hit,streaming,non-original,non-franchise,new,0.028793826,0.580263158,Scenario 3: Strong Convenience
For Jojo,7/11/2022,2022,7,Summer,90,Drama,R,0,0,4,372,Streaming-flop,streaming,non-original,non-franchise,new,0.000125108,0.396992481,Scenario 2: Weak Commitment/Convenience
Under the Amalfi Sun,7/13/2022,2022,7,Summer,90,Comedy drama,PG-13,0,0,5.4,1633,Streaming-flop,streaming,non-original,non-franchise,new,0.000549197,0.53593985,Scenario 3: Strong Convenience
Jaadugar,7/15/2022,2022,7,Summer,167,Comedy,Not Rated,0,0,6.8,12225,Streaming-flop,streaming,non-original,non-franchise,new,0.007628946,0.37962406,Scenario 2: Weak Commitment/Convenience
Persuasion,7/15/2022,2022,7,Summer,109,Drama,PG,0,0,5.8,39938,Streaming-flop,streaming,non-original,non-franchise,new,0.016267171,0.513496241,Scenario 3: Strong Convenience
The Gray Man,7/22/2022,2022,7,Summer,129,Spy thriller,PG-13,0,0,6.5,269903,Streaming-hit,streaming,non-original,non-franchise,new,0.130105798,0.502161654,Scenario 4: Hybrid Logic
A Cut Above,7/28/2022,2022,7,Summer,91,Comedy,R,0,0,4.8,227,Streaming-flop,streaming,non-original,non-franchise,new,7.7191E-05,0.473684211,Scenario 2: Weak Commitment/Convenience
The Entitled,7/29/2022,2022,7,Summer,90,Romantic comedy,R,0,0,4.1,793,Streaming-flop,streaming,non-original,non-franchise,new,0.000266695,0.406917293,Scenario 2: Weak Commitment/Convenience
Purple Hearts,7/29/2022,2022,7,Summer,122,Romance,PG-13,0,0,6.7,70218,Streaming-hit,streaming,non-original,non-franchise,new,0.03201161,0.54406015,Scenario 4: Hybrid Logic
Buba,8/3/2022,2022,8,Summer,94,Comedy,R,0,0,5.9,3330,Streaming-flop,streaming,non-original,non-franchise,new,0.001169691,0.572255639,Scenario 3: Strong Convenience
Don't Blame Karma!,8/3/2022,2022,8,Summer,85,Romantic comedy,Not Rated,0,0,4.7,973,Streaming-flop,streaming,non-original,non-franchise,new,0.000309052,0.479718045,Scenario 2: Weak Commitment/Convenience
Wedding Season,8/4/2022,2022,8,Summer,97,Comedy,Not Rated,0,0,6.4,12281,Streaming-flop,streaming,non-original,non-franchise,new,0.004451483,0.609924812,Scenario 3: Strong Convenience
Carter,8/5/2022,2022,8,Summer,134,Action,NC-17,0,0,5.1,10743,Streaming-hit,streaming,non-original,non-franchise,new,0.005379348,0.37962406,Scenario 2: Weak Commitment/Convenience
Darlings,8/5/2022,2022,8,Summer,134,Comedy drama,Not Rated,0,0,6.7,23231,Streaming-hit,streaming,non-original,non-franchise,new,0.01163247,0.498721805,Scenario 2: Weak Commitment/Convenience
Rise of the Teenage Mutant Ninja Turtles: The Movie,8/5/2022,2022,8,Summer,82,Animated action-adventure,PG,0,0,6.2,7826,Streaming-flop,streaming,non-original,non-franchise,new,0.002398021,0.643308271,Scenario 3: Strong Convenience
Heartsong,8/10/2022,2022,8,Summer,95,Romantic comedy,Not Rated,0,0,5.8,2314,Streaming-flop,streaming,non-original,non-franchise,new,0.00082146,0.559285714,Scenario 3: Strong Convenience
13: The Musical,8/12/2022,2022,8,Summer,94,Musical,PG,0,0,5.2,1249,Streaming-flop,streaming,non-original,non-franchise,new,0.000438722,0.504360902,Scenario 3: Strong Convenience
Day Shift,8/12/2022,2022,8,Summer,113,Fantasy comedy,R,0,0,6.1,98521,Streaming-hit,streaming,non-original,non-franchise,new,0.04160126,0.526296992,Scenario 4: Hybrid Logic
Look Both Ways,8/17/2022,2022,8,Summer,111,Romantic comedy,PG-13,0,0,6.3,26940,Streaming-flop,streaming,non-original,non-franchise,new,0.011174286,0.550657895,Scenario 3: Strong Convenience
Royalteen,8/17/2022,2022,8,Summer,108,Coming-of-age,R,0,0,5.3,3200,Streaming-flop,streaming,non-original,non-franchise,new,0.001291436,0.472218045,Scenario 2: Weak Commitment/Convenience
The Next 365 Days,8/19/2022,2022,8,Summer,113,Erotic thriller,R,0,0,2.9,12940,Streaming-flop,streaming,non-original,non-franchise,new,0.005464016,0.250206767,Scenario 2: Weak Commitment/Convenience
That's Amor,8/25/2022,2022,8,Summer,96,Romantic comedy,PG-13,0,0,5.4,4460,Streaming-flop,streaming,non-original,non-franchise,new,0.001599946,0.517669173,Scenario 3: Strong Convenience
Loving Adults,8/26/2022,2022,8,Summer,105,Thriller,Not Rated,0,0,6.5,15952,Streaming-hit,streaming,non-original,non-franchise,new,0.006258982,0.590131579,Scenario 3: Strong Convenience
Me Time,8/26/2022,2022,8,Summer,104,Comedy,R,0,0,5.1,45084,Streaming-hit,streaming,non-original,non-franchise,new,0.017520843,0.465902256,Scenario 2: Weak Commitment/Convenience
Seoul Vibe,8/26/2022,2022,8,Summer,140,Action,R,0,0,5.5,2469,Streaming-flop,streaming,non-original,non-franchise,new,0.00129166,0.390789474,Scenario 2: Weak Commitment/Convenience
I Came By,8/31/2022,2022,8,Summer,110,Thriller,R,0,0,6.2,38882,Streaming-flop,streaming,non-original,non-franchise,new,0.015982345,0.545413534,Scenario 3: Strong Convenience
Fenced in,9/1/2022,2022,9,Fall/Autumn,110,Comedy,Not Rated,0,0,4.5,841,Streaming-flop,streaming,non-original,non-franchise,new,0.000345691,0.395864662,Scenario 2: Weak Commitment/Convenience
Love in the Villa,9/1/2022,2022,9,Fall/Autumn,115,Romantic comedy,Not Rated,0,0,5.5,15129,Streaming-flop,streaming,non-original,non-franchise,new,0.006501406,0.468327068,Scenario 2: Weak Commitment/Convenience
The Festival of Troubadours,9/2/2022,2022,9,Fall/Autumn,102,Drama,R,0,0,5.8,3452,Streaming-flop,streaming,non-original,non-franchise,new,0.00131574,0.536390977,Scenario 3: Strong Convenience
End of the Road,9/9/2022,2022,9,Fall/Autumn,91,Crime thriller,R,0,0,4.8,9702,Streaming-flop,streaming,non-original,non-franchise,new,0.003299149,0.473684211,Scenario 2: Weak Commitment/Convenience
No Limit,9/9/2022,2022,9,Fall/Autumn,118,Thriller,Not Rated,0,0,5.8,4465,Streaming-hit,streaming,non-original,non-franchise,new,0.001968805,0.48406015,Scenario 2: Weak Commitment/Convenience
Broad Peak,9/14/2022,2022,9,Fall/Autumn,102,Thriller,Not Rated,0,0,6,2529,Streaming-flop,streaming,non-original,non-franchise,new,0.000963936,0.554887218,Scenario 3: Strong Convenience
Do Revenge,9/16/2022,2022,9,Fall/Autumn,118,Black comedy,NR,0,0,6.3,56580,Streaming-flop,streaming,non-original,non-franchise,new,0.024948485,0.525789474,Scenario 3: Strong Convenience
Drifting Home,9/16/2022,2022,9,Fall/Autumn,120,Anime,PG,0,0,6.3,5715,Streaming-flop,streaming,non-original,non-franchise,new,0.002562694,0.518684211,Scenario 3: Strong Convenience
I Used to Be Famous,9/16/2022,2022,9,Fall/Autumn,104,Musical drama,R,0,0,6.6,12370,Streaming-flop,streaming,non-original,non-franchise,new,0.004807312,0.602932331,Scenario 3: Strong Convenience
Jogi,9/16/2022,2022,9,Fall/Autumn,116,Drama,Not Rated,0,0,7.1,7273,Streaming-flop,streaming,non-original,non-franchise,new,0.003152614,0.60056391,Scenario 3: Strong Convenience
The Perfumier,9/21/2022,2022,9,Fall/Autumn,96,Crime drama,R,0,0,3.6,1968,Streaming-flop,streaming,non-original,non-franchise,new,0.000705985,0.345112782,Scenario 2: Weak Commitment/Convenience
A Jazzman's Blues,9/23/2022,2022,9,Fall/Autumn,128,Drama,R,0,0,6.8,4896,Streaming-flop,streaming,non-original,non-franchise,new,0.002341804,0.529172932,Scenario 3: Strong Convenience
Lou,9/23/2022,2022,9,Fall/Autumn,107,Thriller,R,0,0,6.1,38132,Streaming-flop,streaming,non-original,non-franchise,new,0.015246585,0.54693609,Scenario 3: Strong Convenience
Athena,9/23/2022,2022,9,Fall/Autumn,97,Drama,R,0,0,6.8,25339,Streaming-flop,streaming,non-original,non-franchise,new,0.009184604,0.648045113,Scenario 3: Strong Convenience
Blonde,9/28/2022,2022,9,Fall/Autumn,167,Biographical drama,NC-17,0,0,5.4,77983,Streaming-flop,streaming,non-original,non-franchise,new,0.048664878,0.301466165,Scenario 1: Strong Commitment
Plan A Plan B,9/30/2022,2022,9,Fall/Autumn,106,Romantic comedy,Not Rated,0,0,4.6,3596,Streaming-flop,streaming,non-original,non-franchise,new,0.001424376,0.415037594,Scenario 2: Weak Commitment/Convenience
Rainbow,9/30/2022,2022,9,Fall/Autumn,118,Fantasy drama,R,0,0,4.7,1198,Streaming-flop,streaming,non-original,non-franchise,new,0.000528248,0.392255639,Scenario 2: Weak Commitment/Convenience
Jumping from High Places,10/5/2022,2022,10,Fall/Autumn,88,Drama,PG-13,0,0,5.8,1410,Streaming-flop,streaming,non-original,non-franchise,new,0.000463661,0.582180451,Scenario 3: Strong Convenience
Mr. Harrigan's Phone,10/5/2022,2022,10,Fall/Autumn,106,Horror,PG-13,1,0,6,44006,Streaming-flop,streaming,original,non-franchise,old,0.02614618,0.360902256,Scenario 2: Weak Commitment/Convenience
Togo,10/5/2022,2022,10,Fall/Autumn,95,Thriller,Not Rated,0,0,5.4,737,Streaming-flop,streaming,non-original,non-franchise,new,0.000261632,0.520714286,Scenario 3: Strong Convenience
Doll House,10/7/2022,2022,10,Fall/Autumn,106,Drama,Not Rated,0,0,6.4,602,Streaming-flop,streaming,non-original,non-franchise,new,0.000238452,0.577443609,Scenario 3: Strong Convenience
Luckiest Girl Alive,10/7/2022,2022,10,Fall/Autumn,115,Mystery,R,0,0,6.4,59824,Streaming-hit,streaming,non-original,non-franchise,new,0.02570825,0.544962406,Scenario 3: Strong Convenience
Old People,10/7/2022,2022,10,Fall/Autumn,101,Horror,Not Rated,0,0,5.1,7905,Streaming-flop,streaming,non-original,non-franchise,new,0.002983476,0.474530075,Scenario 2: Weak Commitment/Convenience
Someone Borrowed,10/11/2022,2022,10,Fall/Autumn,107,Romantic comedy,Not Rated,0,0,5.7,1969,Streaming-hit,streaming,non-original,non-franchise,new,0.000787279,0.511071429,Scenario 3: Strong Convenience
The Curse of Bridge Hollow,10/14/2022,2022,10,Fall/Autumn,91,Comedy,PG-13,0,0,5.6,13985,Streaming-hit,streaming,non-original,non-franchise,new,0.004755576,0.552631579,Scenario 3: Strong Convenience
The School for Good and Evil,10/19/2022,2022,10,Fall/Autumn,148,Children's fantasy,PG-13,0,0,5.9,41592,Streaming-hit,streaming,non-original,non-franchise,new,0.023002273,0.392593985,Scenario 2: Weak Commitment/Convenience
The Stranger,10/19/2022,2022,10,Fall/Autumn,117,Thriller,R,0,0,6.6,30255,Streaming-flop,streaming,non-original,non-franchise,new,0.013227636,0.554548872,Scenario 3: Strong Convenience
20th Century Girl,10/21/2022,2022,10,Fall/Autumn,121,Romantic,Not Rated,0,0,7.4,14822,Streaming-hit,streaming,non-original,non-franchise,new,0.006701799,0.605075188,Scenario 3: Strong Convenience
Hellhole,10/26/2022,2022,10,Fall/Autumn,90,Horror,R,0,0,5.8,9708,Streaming-flop,streaming,non-original,non-franchise,new,0.003264912,0.575639098,Scenario 3: Strong Convenience
Robbing Mussolini,10/26/2022,2022,10,Fall/Autumn,90,Action comedy,Not Rated,0,0,5.5,2985,Streaming-flop,streaming,non-original,non-franchise,new,0.00100389,0.545864662,Scenario 3: Strong Convenience
The Good Nurse,10/26/2022,2022,10,Fall/Autumn,123,Drama,R,0,0,6.8,89813,Streaming-hit,streaming,non-original,non-franchise,new,0.041280366,0.548345865,Scenario 4: Hybrid Logic
Beyond the Universe,10/27/2022,2022,10,Fall/Autumn,127,Romantic drama,R,0,0,6.6,2863,Streaming-hit,streaming,non-original,non-franchise,new,0.001358702,0.517330827,Scenario 3: Strong Convenience
All Quiet on the Western Front,10/28/2022,2022,10,Fall/Autumn,148,War drama,R,0,0,7.8,311513,Streaming-hit,streaming,non-original,non-franchise,new,0.172280895,0.519022556,Scenario 4: Hybrid Logic
Wendell & Wild,10/28/2022,2022,10,Fall/Autumn,106,Stop motion fantasy horror comedy,PG-13,0,0,6.4,14790,Streaming-flop,streaming,non-original,non-franchise,new,0.005858322,0.577443609,Scenario 3: Strong Convenience
Wild Is the Wind,10/28/2022,2022,10,Fall/Autumn,123,Crime drama,Not Rated,0,0,5.6,1847,Streaming-flop,streaming,non-original,non-franchise,new,0.000848929,0.451578947,Scenario 2: Weak Commitment/Convenience
The Takeover,11/1/2022,2022,11,Fall/Autumn,88,Action / thriller,Not Rated,0,0,5.8,34,Streaming-flop,streaming,non-original,non-franchise,new,1.11805E-05,0.582180451,Scenario 3: Strong Convenience
The Soccer Football Movie,11/9/2022,2022,11,Fall/Autumn,73,CGI animation sports comedy,PG,0,0,3.1,1454,Streaming-flop,streaming,non-original,non-franchise,new,0.000396631,0.337387218,Scenario 2: Weak Commitment/Convenience
Falling for Christmas,11/10/2022,2022,11,Fall/Autumn,95,Romantic comedy,PG,0,0,5.3,33783,Streaming-hit,streaming,non-original,non-franchise,new,0.011992813,0.511071429,Scenario 3: Strong Convenience
Lost Bullet 2: Back for More,11/10/2022,2022,11,Fall/Autumn,100,Action,R,0,1,6.3,7095,Streaming-flop,streaming,non-original,franchise,old,0.003976884,0.393157895,Scenario 2: Weak Commitment/Convenience
Don't Leave,11/11/2022,2022,11,Fall/Autumn,107,Drama,R,0,0,5.2,2173,Streaming-flop,streaming,non-original,non-franchise,new,0.000868846,0.466240602,Scenario 2: Weak Commitment/Convenience
"Monica, O My Darling",11/11/2022,2022,11,Fall/Autumn,130,Neo-noir comedy thriller,R,0,0,7.4,23961,Streaming-flop,streaming,non-original,non-franchise,new,0.011639854,0.567518797,Scenario 3: Strong Convenience
My Father's Dragon,11/11/2022,2022,11,Fall/Autumn,103,Animated fantasy adventure,PG,0,0,6.5,4123,Streaming-flop,streaming,non-original,non-franchise,new,0.001586901,0.597462406,Scenario 3: Strong Convenience
The Lost Lotteries,11/16/2022,2022,11,Fall/Autumn,106,Comedy,Not Rated,0,0,5.5,431,Streaming-flop,streaming,non-original,non-franchise,new,0.000170719,0.496240602,Scenario 2: Weak Commitment/Convenience
The Wonder,11/16/2022,2022,11,Fall/Autumn,109,Psychological drama,R,0,0,6.6,49098,Streaming-flop,streaming,non-original,non-franchise,new,0.019998137,0.584323308,Scenario 3: Strong Convenience
Christmas with You,11/17/2022,2022,11,Fall/Autumn,90,Romantic comedy,PG,0,0,5.6,8624,Streaming-flop,streaming,non-original,non-franchise,new,0.002900351,0.555789474,Scenario 3: Strong Convenience
Slumberland,11/18/2022,2022,11,Fall/Autumn,120,Fantasy adventure,PG,1,1,6.7,35782,Streaming-hit,streaming,original,franchise,old,0.024067797,0.367744361,Scenario 2: Weak Commitment/Convenience
Christmas on Mistletoe Farm,11/23/2022,2022,11,Fall/Autumn,103,Comedy,G,0,0,4.5,2269,Streaming-flop,streaming,non-original,non-franchise,new,0.000873315,0.41362782,Scenario 2: Weak Commitment/Convenience
Lesson Plan,11/23/2022,2022,11,Fall/Autumn,99,Crime drama,Not Rated,0,0,5,2313,Streaming-flop,streaming,non-original,non-franchise,new,0.000855677,0.470864662,Scenario 2: Weak Commitment/Convenience
The Swimmers,11/23/2022,2022,11,Fall/Autumn,135,Drama,PG-13,0,0,7.4,40149,Streaming-flop,streaming,non-original,non-franchise,new,0.020253857,0.546654135,Scenario 3: Strong Convenience
Who's a Good Boy?,11/23/2022,2022,11,Fall/Autumn,95,Comedy,R,0,0,4.7,885,Streaming-flop,streaming,non-original,non-franchise,new,0.000314171,0.453214286,Scenario 2: Weak Commitment/Convenience
The Noel Diary,11/24/2022,2022,11,Fall/Autumn,100,Drama,PG,0,0,6.2,22216,Streaming-hit,streaming,non-original,non-franchise,new,0.008301663,0.58037594,Scenario 3: Strong Convenience
A Man of Action,11/30/2022,2022,11,Fall/Autumn,111,Biopic,Not Rated,0,0,6.4,3841,Streaming-flop,streaming,non-original,non-franchise,new,0.001593186,0.559398496,Scenario 3: Strong Convenience
Christmas Full of Grace,11/30/2022,2022,11,Fall/Autumn,105,Romantic comedy,R,0,0,4.6,936,Streaming-flop,streaming,non-original,non-franchise,new,0.000367252,0.417631579,Scenario 2: Weak Commitment/Convenience
My Name Is Vendetta,11/30/2022,2022,11,Fall/Autumn,90,Thriller,R,0,0,5.6,6918,Streaming-hit,streaming,non-original,non-franchise,new,0.002326603,0.555789474,Scenario 3: Strong Convenience
Qala,12/1/2022,2022,12,Winter,119,Drama,Not Rated,0,0,7.2,8476,Streaming-flop,streaming,non-original,non-franchise,new,0.003769095,0.596842105,Scenario 3: Strong Convenience
Troll,12/1/2022,2022,12,Winter,103,Monster,PG-13,0,0,5.8,58319,Streaming-hit,streaming,non-original,non-franchise,new,0.022446391,0.533120301,Scenario 3: Strong Convenience
Lady Chatterley's Lover,12/2/2022,2022,12,Winter,127,Romantic drama,R,0,0,6.6,27312,Streaming-flop,streaming,non-original,non-franchise,new,0.012961536,0.517330827,Scenario 3: Strong Convenience
Scrooge: A Christmas Carol,12/2/2022,2022,12,Winter,101,CGI animation musical fantasy comedy drama,G,1,1,6.2,9194,Streaming-flop,streaming,original,franchise,old,0.005204948,0.384586466,Scenario 2: Weak Commitment/Convenience
Delivery by Christmas,12/6/2022,2022,12,Winter,100,Romantic comedy,Not Rated,0,0,5.6,1119,Streaming-flop,streaming,non-original,non-franchise,new,0.000418147,0.524210526,Scenario 3: Strong Convenience
Burning Patience,12/7/2022,2022,12,Winter,90,Drama,NR,0,0,6,409,Streaming-flop,streaming,non-original,non-franchise,new,0.000137551,0.595488722,Scenario 3: Strong Convenience
The Marriage App,12/7/2022,2022,12,Winter,101,Drama,R,0,0,5.5,2341,Streaming-flop,streaming,non-original,non-franchise,new,0.000883531,0.51174812,Scenario 3: Strong Convenience
The Claus Family 3,12/8/2022,2022,12,Winter,73,Fantasy,Not Rated,0,1,4.6,873,Streaming-flop,streaming,non-original,franchise,old,0.000357213,0.333759398,Scenario 2: Weak Commitment/Convenience
Guillermo del Toro's Pinocchio,12/9/2022,2022,12,Winter,116,Stop motion fantasy musical drama,PG,0,0,7.6,143117,Streaming-flop,streaming,non-original,non-franchise,new,0.062036665,0.642857143,Scenario 4: Hybrid Logic
I Believe in Santa,12/14/2022,2022,12,Winter,90,Romantic comedy,PG,0,0,4.6,4945,Streaming-flop,streaming,non-original,non-franchise,new,0.00166306,0.456541353,Scenario 2: Weak Commitment/Convenience
The Big 4,12/15/2022,2022,12,Winter,141,Action comedy,Not Rated,0,0,6.1,4492,Streaming-flop,streaming,non-original,non-franchise,new,0.002366781,0.429981203,Scenario 2: Weak Commitment/Convenience
Private Lesson,12/16/2022,2022,12,Winter,89,Romantic comedy,R,0,0,4.8,2384,Streaming-flop,streaming,non-original,non-franchise,new,0.000792858,0.479097744,Scenario 2: Weak Commitment/Convenience
A Not So Merry Christmas,12/20/2022,2022,12,Winter,100,Comedy,PG-13,1,1,4.8,1185,Streaming-flop,streaming,original,franchise,old,0.000664215,0.299548872,Scenario 2: Weak Commitment/Convenience
A Night at the Kindergarten,12/28/2022,2022,12,Winter,97,Black comedy,Not Rated,0,0,5.7,749,Streaming-flop,streaming,non-original,non-franchise,new,0.000271489,0.543214286,Scenario 3: Strong Convenience
White Noise,12/30/2022,2022,12,Winter,136,Black comedy,R,0,0,5.7,47491,Streaming-flop,streaming,non-original,non-franchise,new,0.024135119,0.417857143,Scenario 2: Weak Commitment/Convenience
