,Title,Release date,Genre,runTime,distributor,averageRating,numVotes,tconst,MPAA_Rating,is_sequel,is_franchise,is_adaptation,is_remake,budget,revenue,is_original,total_weeks,performance
42,One-Way to Tomorrow,2020-06-19,Romantic drama,90,Streaming,5.6,5775.0,tt11988512,Not Rated,0,0,0,0,0,0,original,0.0,Streaming-flop
43,Bulbbul,2020-06-24,Horror,94,Streaming,6.6,16354.0,tt12393526,Not Rated,0,0,0,0,0,0,original,0.0,Streaming-flop
44,Nobody Knows I'm Here,2020-06-24,Drama,91,Streaming,6.5,5237.0,tt10728764,Not Rated,0,0,0,0,0,0,original,0.0,Streaming-flop
45,Eurovision Song Contest: The Story of Fire Saga,2020-06-26,Musical comedy,123,Streaming,6.5,108838.0,tt8580274,PG-13,0,0,0,0,0,0,original,0.0,Streaming-flop
46,Under the Riccione Sun,2020-07-01,Romantic teenage drama,102,Streaming,5.6,3494.0,tt10941528,Not Rated,0,0,0,0,3000000,0,original,0.0,Streaming-flop
47,Desperados,2020-07-03,Romantic comedy,106,Streaming,5.2,11605.0,tt1545304,Not Rated,0,0,0,0,0,0,original,0.0,Streaming-flop
48,The Old Guard,2020-07-10,Superhero,125,Streaming,6.7,208995.0,tt7556122,R,0,0,0,0,70000000,0,original,3.0,Streaming-flop
49,The Players,2020-07-15,Comedy,88,Streaming,4.8,1989.0,tt10168672,R,0,0,0,0,0,0,original,0.0,Streaming-flop
50,Fatal Affair,2020-07-16,Psychological thriller,89,Streaming,4.6,7288.0,tt11057594,Not Rated,0,0,0,0,0,0,original,0.0,Streaming-flop
51,Offering to the Storm,2020-07-24,Crime thriller,139,Streaming,6.2,8364.0,tt7304824,R,0,0,0,0,5989313,0,original,0.0,Streaming-flop
52,The Kissing Booth 2,2020-07-24,Teen romantic comedy,132,Streaming,5.7,43374.0,tt9784456,PG-13,0,0,0,0,0,0,original,1.0,Streaming-flop
53,Seriously Single,2020-07-31,Comedy,107,Streaming,4.6,1398.0,tt11010144,Not Rated,0,0,0,0,0,0,original,0.0,Streaming-flop
54,Raat Akeli Hai,2020-07-31,Thriller,149,Streaming,7.2,22543.0,tt12567088,Not Rated,0,0,0,0,0,0,original,0.0,Streaming-flop
55,Work It,2020-08-07,Dance comedy,93,Streaming,6.1,17760.0,tt10276470,PG-13,0,0,0,0,0,0,original,0.0,Streaming-flop
56,Gunjan Saxena: The Kargil Girl,2020-08-12,Biographical drama,112,Streaming,5.6,36226.0,tt10350626,Not Rated,0,0,0,0,0,0,original,0.0,Streaming-flop
57,Project Power,2020-08-14,Superhero,113,Streaming,6.0,103227.0,tt7550000,R,0,0,0,0,0,0,original,0.0,Streaming-flop
58,Fearless,2020-08-14,Animation / Superhero,91,Streaming,5.0,2100.0,tt8675288,PG,0,0,0,0,0,0,original,0.0,Streaming-flop
59,Crazy Awesome Teachers,2020-08-17,Comedy drama,101,Streaming,6.2,611.0,tt10643918,Not Rated,0,0,0,0,0,0,original,0.0,Streaming-flop
60,The Crimes That Bind,2020-08-20,Crime drama,99,Streaming,6.7,4872.0,tt10915060,Not Rated,0,0,0,0,0,0,original,0.0,Streaming-flop
61,The Sleepover,2020-08-21,Action comedy,103,Streaming,5.7,13288.0,tt10888708,PG-13,0,0,0,0,0,0,original,0.0,Streaming-flop
62,Class of '83,2020-08-21,Crime / Drama,98,Streaming,5.8,6214.0,tt10230422,Not Rated,0,0,0,0,0,0,original,0.0,Streaming-flop
63,Dark Forces,2020-08-21,Thriller,81,Streaming,2.8,765.0,tt12536776,Not Rated,0,0,0,0,0,0,original,0.0,Streaming-flop
64,All Together Now,2020-08-28,Drama,93,Streaming,6.5,5443.0,tt3155342,PG,0,0,0,0,0,0,original,0.0,Streaming-flop
65,Unknown Origins,2020-08-28,Thriller,96,Streaming,6.1,8022.0,tt5827790,Not Rated,0,0,0,0,3268650,0,original,0.0,Streaming-flop
66,Freaks – You're One of Us,2020-09-02,Supernatural drama,92,Streaming,,,,,0,0,0,0,0,0,original,1.0,Streaming-flop
67,"Love, Guaranteed",2020-09-03,Romantic comedy,91,Streaming,5.6,20295.0,tt11100856,PG,0,0,0,0,0,0,original,0.0,Streaming-flop
68,I'm Thinking of Ending Things,2020-09-04,Psychological thriller,134,Streaming,6.5,109074.0,tt7939766,R,0,0,0,0,0,0,original,0.0,Streaming-flop
69,The Babysitter: Killer Queen,2020-09-10,Comedy / Horror,102,Streaming,5.8,59268.0,tt11024272,R,1,1,0,0,0,0,non-original,0.0,Streaming-flop
70,Dad Wanted,2020-09-11,Family,103,Streaming,5.8,1261.0,tt12721188,Not Rated,0,0,0,0,0,0,original,0.0,Streaming-flop
71,The Devil All The Time,2020-09-16,Psychological thriller,138,Streaming,7.1,167814.0,tt7395114,R,0,0,0,0,0,0,original,0.0,Streaming-flop
72,The Paramedic,2020-09-16,Thriller,94,Streaming,5.7,16148.0,tt11127690,Not Rated,0,0,0,0,0,0,original,0.0,Streaming-flop
73,Dolly Kitty Aur Woh Chamakte Sitare,2020-09-18,Drama,120,Streaming,,,,,0,0,0,0,0,0,original,0.0,Streaming-flop
74,Whipped,2020-09-18,Romantic comedy,97,Streaming,4.2,702.0,tt11754464,Not Rated,0,0,0,0,0,0,original,0.0,Streaming-flop
75,The Boys in the Band,2020-09-30,Drama,122,Streaming,6.8,19396.0,tt10199914,R,0,0,0,0,0,0,original,0.0,Streaming-flop
76,All Because of You,2020-10-01,Action comedy,101,Streaming,4.1,297.0,tt13106900,Not Rated,0,0,0,0,0,0,original,0.0,Streaming-flop
77,Òlòtūré,2020-10-02,Crime drama,106,Streaming,,,,,0,0,0,0,0,0,original,0.0,Streaming-flop
78,Serious Men,2020-10-02,Comedy drama,114,Streaming,6.8,8637.0,tt10230414,Not Rated,0,0,0,0,0,0,original,0.0,Streaming-flop
79,The Binding,2020-10-02,Horror,93,Streaming,4.8,5192.0,tt10914452,Not Rated,0,0,0,0,0,0,original,0.0,Streaming-flop
80,Vampires vs. the Bronx,2020-10-02,Horror comedy,85,Streaming,5.7,11946.0,tt8976576,PG-13,0,0,0,0,0,0,original,0.0,Streaming-flop
81,You've Got This,2020-10-02,Romantic comedy,111,Streaming,5.9,1574.0,tt13118012,Not Rated,0,0,0,0,0,0,original,0.0,Streaming-flop
82,Hubie Halloween,2020-10-07,Comedy,103,Streaming,5.3,67752.0,tt10682266,PG-13,0,0,0,0,14000000,0,original,1.0,Streaming-flop
83,Ginny Weds Sunny,2020-10-09,Romantic comedy,125,Streaming,5.7,6004.0,tt10543680,Not Rated,0,0,0,0,0,0,original,0.0,Streaming-flop
84,The Forty-Year-Old Version,2020-10-09,Comedy drama,124,Streaming,7.2,5781.0,tt10642834,R,0,0,0,0,0,0,original,0.0,Streaming-flop
85,A Babysitter's Guide to Monster Hunting,2020-10-15,Comedy / Fantasy / Family,98,Streaming,5.4,5377.0,tt4844150,PG,0,0,0,0,0,0,original,0.0,Streaming-flop
86,Love Like the Falling Rain,2020-10-15,Teen romantic drama,86,Streaming,4.8,250.0,tt12217814,Not Rated,0,0,0,0,0,0,original,0.0,Streaming-flop
87,The Trial of the Chicago 7,2020-10-16,Historical legal drama,130,Streaming,7.7,204413.0,tt1070874,R,0,0,0,0,35000000,107423,original,0.0,Streaming-flop
88,Rebecca,2020-10-21,Romantic thriller,123,Streaming,6.1,50120.0,tt2235695,PG-13,0,1,0,1,0,0,non-original,0.0,Streaming-flop
89,Cadaver,2020-10-22,Horror,86,Streaming,5.2,13446.0,tt11284280,Not Rated,0,0,0,0,0,0,original,0.0,Streaming-flop
90,Over the Moon,2020-10-23,CGI animation musical fantasy,100,Streaming,6.3,26847.0,tt7488208,PG,0,0,0,0,0,0,original,0.0,Streaming-flop
91,Holidate,2020-10-28,Christmas romantic comedy,104,Streaming,6.2,87585.0,tt9866072,Not Rated,0,0,0,0,0,0,original,0.0,Streaming-flop
92,Nobody Sleeps in the Woods Tonight,2020-10-28,Horror,103,Streaming,4.9,15952.0,tt11240506,Not Rated,0,0,0,0,0,0,original,1.0,Streaming-flop
93,His House,2020-10-30,Thriller,93,Streaming,6.4,54202.0,tt8508734,NR,0,0,0,0,0,0,original,0.0,Streaming-flop
94,Kaali Khuhi,2020-10-30,Horror,90,Streaming,3.7,1521.0,tt10235600,Not Rated,0,0,0,0,0,0,original,0.0,Streaming-flop
