,Title,Release date,Year,Month,Season,runTime,Genre,MPAA_Rating,is_original,is_franchise,averageRating,numVotes,total_weeks,performance
18,The Main Event,4/10/2020,2020,4,Spring,103,Sports comedy,Not Rated,0,0,4.8,2930,0,Streaming-flop
19,Love Wedding Repeat,4/10/2020,2020,4,Spring,100,Romantic comedy,Not Rated,0,0,5.6,23163,0,Streaming-flop
20,Tigertail,4/10/2020,2020,4,Spring,91,Drama,PG,0,0,6.6,3995,0,Streaming-flop
21,Earth and Blood,4/17/2020,2020,4,Spring,80,Action,Not Rated,0,0,5.2,3068,0,Streaming-flop
22,Rising High,4/17/2020,2020,4,Spring,94,Satire drama,Not Rated,0,0,6,6144,0,Streaming-flop
23,Sergio,4/17/2020,2020,4,Spring,118,Biopic,R,0,0,6.2,11933,0,Streaming-flop
24,The Willoughbys,4/22/2020,2020,4,Spring,92,Animated comedy,PG,0,0,6.4,23312,0,Streaming-flop
25,Time to Hunt,4/23/2020,2020,4,Spring,135,Action thriller,Not Rated,0,0,6.3,7670,0,Streaming-flop
26,Extraction,4/24/2020,2020,4,Spring,117,Action,R,1,0,6.8,287546,3,Streaming-flop
27,Dangerous Lies,4/30/2020,2020,4,Spring,97,Thriller,Not Rated,0,0,5.4,19953,0,Streaming-flop
28,Rich in Love,4/30/2020,2020,4,Spring,105,Romantic comedy,,0,0,,,0,Streaming-flop
29,All Day and a Night,5/1/2020,2020,5,Spring,121,Drama,R,0,0,6,4802,0,Streaming-flop
30,Mrs. Serial Killer,5/1/2020,2020,5,Spring,107,Crime,Not Rated,0,0,4,19136,0,Streaming-flop
31,The Half of It,5/1/2020,2020,5,Spring,105,Teen romance,PG-13,0,0,6.9,47033,0,Streaming-flop
32,The Wrong Missy,5/13/2020,2020,5,Spring,90,Black comedy,R,0,0,5.8,50196,0,Streaming-flop
33,The Lovebirds,5/22/2020,2020,5,Spring,87,Romantic comedy,R,0,0,6.1,29043,0,Streaming-flop
34,I'm No Longer Here,5/27/2020,2020,5,Spring,112,Drama,,0,0,,,0,Streaming-flop
35,Intuition,5/28/2020,2020,5,Spring,116,Crime thriller,Not Rated,0,0,5.6,3339,0,Streaming-flop
36,Choked: Paisa Bolta Hai,6/5/2020,2020,6,Summer,114,Drama,,0,0,,,0,Streaming-flop
37,The Last Days of American Crime,6/5/2020,2020,6,Summer,149,Heist thriller,R,0,0,3.8,12917,0,Streaming-flop
38,Da 5 Bloods,6/12/2020,2020,6,Summer,155,War drama,R,0,0,6.5,57349,0,Streaming-flop
39,A Whisker Away,6/18/2020,2020,6,Summer,105,Anime fantasy,PG,0,0,6.7,17691,0,Streaming-flop
40,Feel the Beat,6/19/2020,2020,6,Summer,109,Family / Comedy drama,G,0,0,6.3,15070,0,Streaming-flop
41,Lost Bullet,6/19/2020,2020,6,Summer,93,Action,Not Rated,0,0,6.4,16640,10,Streaming-hit
42,One-Way to Tomorrow,6/19/2020,2020,6,Summer,90,Romantic drama,Not Rated,0,0,5.6,5775,0,Streaming-flop
43,Bulbbul,6/24/2020,2020,6,Summer,94,Horror,Not Rated,0,0,6.6,16354,0,Streaming-flop
44,Nobody Knows I'm Here,6/24/2020,2020,6,Summer,91,Drama,Not Rated,0,0,6.5,5237,0,Streaming-flop
45,Eurovision Song Contest: The Story of Fire Saga,6/26/2020,2020,6,Summer,123,Musical comedy,PG-13,0,0,6.5,108838,0,Streaming-flop
46,Under the Riccione Sun,7/1/2020,2020,7,Summer,102,Romantic teenage drama,Not Rated,0,0,5.6,3494,0,Streaming-flop
47,Desperados,7/3/2020,2020,7,Summer,106,Romantic comedy,Not Rated,0,0,5.2,11605,0,Streaming-flop
